IFA-100 Fiber Index Profiler Version 8.0 Build 20 Output file
Data acquired on Oct 07, 2015  2:20 PM
IFA-100 Serial Number 02280  Data filename: 6AW0058_10TH OCT.txt
Fiber Rotation Angle = 0deg Frame rate = 18.6 Axial position = 0 microns
Microns per pixel = 0.153 Axial zone height = 80 microns
Frame size = 1384 horizontal pixels
Lambda cal = -0.034214         3.5741        -139.71         2447.8
Center Offset = 0.0 microns and Selected Fiber Diameter = 125 microns
Refractive index units are delta-n
radius (um)	633
-74.931	-4.97695e-007	
-74.778	-8.04737e-007	
-74.625	-7.93484e-007	
-74.472	-7.44566e-007	
-74.319	-7.50321e-007	
-74.166	-7.7476e-007	
-74.013	-7.2333e-007	
-73.86	-4.59042e-007	
-73.707	-2.09557e-008	
-73.555	4.11772e-007	
-73.402	6.308e-007	
-73.249	5.37393e-007	
-73.096	1.80199e-007	
-72.943	-2.49075e-007	
-72.79	-5.72561e-007	
-72.637	-6.74278e-007	
-72.484	-6.03383e-007	
-72.331	-4.42849e-007	
-72.178	-2.95431e-007	
-72.025	-1.26647e-007	
-71.872	4.4472e-008	
-71.719	1.9731e-007	
-71.567	2.52483e-007	
-71.414	2.8759e-007	
-71.261	3.87087e-007	
-71.108	5.73946e-007	
-70.955	7.43003e-007	
-70.802	7.70746e-007	
-70.649	6.22956e-007	
-70.496	3.60894e-007	
-70.343	1.35524e-007	
-70.19	-9.28138e-009	
-70.037	-7.34418e-008	
-69.884	-1.53453e-007	
-69.732	-1.89554e-007	
-69.579	-2.42017e-007	
-69.426	-2.73097e-007	
-69.273	-3.89035e-007	
-69.12	-4.94192e-007	
-68.967	-5.43576e-007	
-68.814	-4.79458e-007	
-68.661	-4.15181e-007	
-68.508	-4.33799e-007	
-68.355	-5.65786e-007	
-68.202	-7.36967e-007	
-68.049	-9.00644e-007	
-67.896	-8.73273e-007	
-67.744	-5.24562e-007	
-67.591	2.11575e-007	
-67.438	1.10416e-006	
-67.285	1.84602e-006	
-67.132	2.23166e-006	
-66.979	2.26565e-006	
-66.826	2.04906e-006	
-66.673	1.50872e-006	
-66.52	4.31345e-007	
-66.367	-1.4196e-006	
-66.214	-3.87945e-006	
-66.061	-6.3375e-006	
-65.909	-7.82818e-006	
-65.756	-7.64226e-006	
-65.603	-5.51142e-006	
-65.45	-1.74143e-006	
-65.297	3.18109e-006	
-65.144	8.65646e-006	
-64.991	1.43544e-005	
-64.838	1.99575e-005	
-64.685	2.5096e-005	
-64.532	2.90089e-005	
-64.379	3.08714e-005	
-64.226	3.01672e-005	
-64.073	2.67806e-005	
-63.921	2.06018e-005	
-63.768	1.07783e-005	
-63.615	-4.81802e-006	
-63.462	-2.95905e-005	
-63.309	-6.73459e-005	
-63.156	-0.000120802	
-63.003	-0.000190079	
-62.85	-0.000272098	
-62.697	-0.000361084	
-62.544	-0.000450061	
-62.391	-0.000532655	
-62.238	-0.00060428	
-62.086	-0.000662673	
-61.933	-0.000707604	
-61.78	-0.00074054	
-61.627	-0.000763922	
-61.474	-0.000780488	
-61.321	-0.000792559	
-61.168	-0.000801784	
-61.015	-0.000809114	
-60.862	-0.000815077	
-60.709	-0.000819801	
-60.556	-0.000823353	
-60.403	-0.000825755	
-60.25	-0.000827404	
-60.098	-0.000828783	
-59.945	-0.000830415	
-59.792	-0.000832321	
-59.639	-0.000834368	
-59.486	-0.00083633	
-59.333	-0.000838211	
-59.18	-0.000839931	
-59.027	-0.000841384	
-58.874	-0.00084244	
-58.721	-0.000843114	
-58.568	-0.000843526	
-58.415	-0.000843812	
-58.263	-0.000844072	
-58.11	-0.000844255	
-57.957	-0.000844352	
-57.804	-0.000844291	
-57.651	-0.000844155	
-57.498	-0.000843945	
-57.345	-0.000843822	
-57.192	-0.000843748	
-57.039	-0.000843782	
-56.886	-0.000843751	
-56.733	-0.000843636	
-56.58	-0.000843283	
-56.427	-0.000842729	
-56.275	-0.000841955	
-56.122	-0.000840944	
-55.969	-0.000839972	
-55.816	-0.000839161	
-55.663	-0.000838759	
-55.51	-0.000838714	
-55.357	-0.000838567	
-55.204	-0.000837918	
-55.051	-0.000836659	
-54.898	-0.000835563	
-54.745	-0.000835145	
-54.592	-0.000835441	
-54.44	-0.000835678	
-54.287	-0.00083532	
-54.134	-0.000834457	
-53.981	-0.00083343	
-53.828	-0.000832667	
-53.675	-0.000832069	
-53.522	-0.000831936	
-53.369	-0.000832164	
-53.216	-0.000832687	
-53.063	-0.000832853	
-52.91	-0.000832451	
-52.757	-0.000831603	
-52.604	-0.000830856	
-52.452	-0.000830659	
-52.299	-0.000831048	
-52.146	-0.000831482	
-51.993	-0.000831428	
-51.84	-0.000830786	
-51.687	-0.00083005	
-51.534	-0.000829594	
-51.381	-0.000829843	
-51.228	-0.000830601	
-51.075	-0.000831517	
-50.922	-0.000831884	
-50.769	-0.0008317	
-50.617	-0.000831026	
-50.464	-0.000830371	
-50.311	-0.000830002	
-50.158	-0.000830107	
-50.005	-0.000830176	
-49.852	-0.000829938	
-49.699	-0.000829656	
-49.546	-0.000829854	
-49.393	-0.000830467	
-49.24	-0.000831061	
-49.087	-0.000831393	
-48.934	-0.000831564	
-48.781	-0.000831668	
-48.629	-0.000831651	
-48.476	-0.000831221	
-48.323	-0.000830352	
-48.17	-0.000829441	
-48.017	-0.000829347	
-47.864	-0.00083011	
-47.711	-0.000830948	
-47.558	-0.000830896	
-47.405	-0.000830233	
-47.252	-0.000829996	
-47.099	-0.000830642	
-46.946	-0.000831616	
-46.794	-0.000832063	
-46.641	-0.000831882	
-46.488	-0.000831623	
-46.335	-0.000831727	
-46.182	-0.000832123	
-46.029	-0.000832082	
-45.876	-0.000831436	
-45.723	-0.000830719	
-45.57	-0.000830677	
-45.417	-0.000831242	
-45.264	-0.000831536	
-45.111	-0.000831235	
-44.958	-0.000830534	
-44.806	-0.000830201	
-44.653	-0.000830204	
-44.5	-0.000830376	
-44.347	-0.000830575	
-44.194	-0.000831014	
-44.041	-0.000831515	
-43.888	-0.000831425	
-43.735	-0.000830694	
-43.582	-0.000829862	
-43.429	-0.000829803	
-43.276	-0.000830408	
-43.123	-0.000830933	
-42.971	-0.000830598	
-42.818	-0.000829595	
-42.665	-0.000828896	
-42.512	-0.000828946	
-42.359	-0.000829511	
-42.206	-0.000829764	
-42.053	-0.000829671	
-41.9	-0.000829203	
-41.747	-0.00082883	
-41.594	-0.000828861	
-41.441	-0.000829745	
-41.288	-0.000830926	
-41.135	-0.000831478	
-40.983	-0.000830777	
-40.83	-0.000829575	
-40.677	-0.000828539	
-40.524	-0.000828108	
-40.371	-0.000827863	
-40.218	-0.000827557	
-40.065	-0.000826767	
-39.912	-0.000825995	
-39.759	-0.000826157	
-39.606	-0.000827568	
-39.453	-0.00082923	
-39.3	-0.00083004	
-39.148	-0.000830052	
-38.995	-0.000829806	
-38.842	-0.000829571	
-38.689	-0.00082903	
-38.536	-0.000828011	
-38.383	-0.000826598	
-38.23	-0.0008254	
-38.077	-0.000825046	
-37.924	-0.00082572	
-37.771	-0.000826649	
-37.618	-0.000826958	
-37.465	-0.000826287	
-37.312	-0.000825466	
-37.16	-0.000825249	
-37.007	-0.00082591	
-36.854	-0.000826313	
-36.701	-0.000826042	
-36.548	-0.000825507	
-36.395	-0.000826084	
-36.242	-0.00082731	
-36.089	-0.000827818	
-35.936	-0.000826719	
-35.783	-0.000825354	
-35.63	-0.000824909	
-35.477	-0.000825281	
-35.325	-0.000825277	
-35.172	-0.000824677	
-35.019	-0.000823974	
-34.866	-0.000823658	
-34.713	-0.000823653	
-34.56	-0.000823928	
-34.407	-0.000824437	
-34.254	-0.000824801	
-34.101	-0.000824495	
-33.948	-0.000823388	
-33.795	-0.000822234	
-33.642	-0.000821652	
-33.489	-0.000821811	
-33.337	-0.000822273	
-33.184	-0.000822701	
-33.031	-0.000822626	
-32.878	-0.000821649	
-32.725	-0.000820237	
-32.572	-0.000819444	
-32.419	-0.000820025	
-32.266	-0.000821211	
-32.113	-0.000822162	
-31.96	-0.000822419	
-31.807	-0.000822494	
-31.654	-0.000822555	
-31.502	-0.000822702	
-31.349	-0.000822348	
-31.196	-0.000821555	
-31.043	-0.00082045	
-30.89	-0.000819673	
-30.737	-0.000818853	
-30.584	-0.000818275	
-30.431	-0.000818119	
-30.278	-0.000819032	
-30.125	-0.000820489	
-29.972	-0.000821864	
-29.819	-0.000822359	
-29.666	-0.00082154	
-29.514	-0.00081971	
-29.361	-0.00081794	
-29.208	-0.000817491	
-29.055	-0.000818361	
-28.902	-0.00081972	
-28.749	-0.000820748	
-28.596	-0.000821075	
-28.443	-0.000820329	
-28.29	-0.000818473	
-28.137	-0.000816511	
-27.984	-0.000815954	
-27.831	-0.000816914	
-27.679	-0.000818003	
-27.526	-0.000817638	
-27.373	-0.000816314	
-27.22	-0.000815399	
-27.067	-0.000816031	
-26.914	-0.00081717	
-26.761	-0.000817359	
-26.608	-0.000815981	
-26.455	-0.000814265	
-26.302	-0.000813449	
-26.149	-0.000813172	
-25.996	-0.000812656	
-25.843	-0.000811777	
-25.691	-0.000811372	
-25.538	-0.000811208	
-25.385	-0.000810922	
-25.232	-0.000810389	
-25.079	-0.000810282	
-24.926	-0.000810383	
-24.773	-0.000810035	
-24.62	-0.000809073	
-24.467	-0.000808001	
-24.314	-0.000807722	
-24.161	-0.000807845	
-24.008	-0.000808053	
-23.856	-0.000807568	
-23.703	-0.000806712	
-23.55	-0.000805598	
-23.397	-0.000804471	
-23.244	-0.000803116	
-23.091	-0.000801651	
-22.938	-0.000800681	
-22.785	-0.000800302	
-22.632	-0.000800168	
-22.479	-0.000799907	
-22.326	-0.0007998	
-22.173	-0.000799666	
-22.02	-0.000798834	
-21.868	-0.000797417	
-21.715	-0.000796236	
-21.562	-0.000795726	
-21.409	-0.000794809	
-21.256	-0.000792997	
-21.103	-0.000791026	
-20.95	-0.000790169	
-20.797	-0.000790218	
-20.644	-0.000790202	
-20.491	-0.000789711	
-20.338	-0.000789132	
-20.185	-0.000788731	
-20.033	-0.000787805	
-19.88	-0.000786135	
-19.727	-0.000783799	
-19.574	-0.000781909	
-19.421	-0.000780472	
-19.268	-0.000779445	
-19.115	-0.000778313	
-18.962	-0.00077731	
-18.809	-0.000776396	
-18.656	-0.000775415	
-18.503	-0.000774001	
-18.35	-0.000772243	
-18.197	-0.000770539	
-18.045	-0.000769364	
-17.892	-0.000768548	
-17.739	-0.000767523	
-17.586	-0.000765517	
-17.433	-0.000762697	
-17.28	-0.000760033	
-17.127	-0.000758598	
-16.974	-0.00075834	
-16.821	-0.000758222	
-16.668	-0.000757846	
-16.515	-0.000757268	
-16.362	-0.000756547	
-16.21	-0.000754971	
-16.057	-0.000751962	
-15.904	-0.000746641	
-15.751	-0.000737859	
-15.598	-0.000725959	
-15.445	-0.00071379	
-15.292	-0.000705096	
-15.139	-0.000700786	
-14.986	-0.000699727	
-14.833	-0.000700471	
-14.68	-0.000702885	
-14.527	-0.000706337	
-14.374	-0.000710395	
-14.222	-0.00071459	
-14.069	-0.000719122	
-13.916	-0.000723848	
-13.763	-0.000728882	
-13.61	-0.000734057	
-13.457	-0.000738342	
-13.304	-0.000741063	
-13.151	-0.000742293	
-12.998	-0.000743869	
-12.845	-0.000746239	
-12.692	-0.000748713	
-12.539	-0.000749673	
-12.387	-0.000749995	
-12.234	-0.00075068	
-12.081	-0.000752749	
-11.928	-0.000754872	
-11.775	-0.000756189	
-11.622	-0.000756145	
-11.469	-0.000755296	
-11.316	-0.000753836	
-11.163	-0.000752423	
-11.01	-0.000751724	
-10.857	-0.000751871	
-10.704	-0.000751723	
-10.551	-0.000749854	
-10.399	-0.000746875	
-10.246	-0.000744654	
-10.093	-0.000743926	
-9.9398	-0.000742828	
-9.7869	-0.000739894	
-9.634	-0.00073555	
-9.481	-0.000731183	
-9.3281	-0.00072729	
-9.1752	-0.000724185	
-9.0223	-0.000721026	
-8.8694	-0.000716804	
-8.7164	-0.000710461	
-8.5635	-0.000702633	
-8.4106	-0.000694897	
-8.2577	-0.000688248	
-8.1048	-0.000682828	
-7.9518	-0.000676488	
-7.7989	-0.000667412	
-7.646	-0.000655512	
-7.4931	-0.000643506	
-7.3402	-0.000634543	
-7.1872	-0.000628508	
-7.0343	-0.000623046	
-6.8814	-0.00061497	
-6.7285	-0.000604472	
-6.5756	-0.000592831	
-6.4226	-0.000581114	
-6.2697	-0.000568496	
-6.1168	-0.000554507	
-5.9639	-0.000537924	
-5.811	-0.000516411	
-5.658	-0.000487338	
-5.5051	-0.000452892	
-5.3522	-0.000417017	
-5.1993	-0.0003742	
-5.0464	-0.000298838	
-4.8934	-0.000147732	
-4.7405	0.000120836	
-4.5876	0.000526071	
-4.4347	0.00105188	
-4.2818	0.00164744	
-4.1288	0.00224405	
-3.9759	0.00277691	
-3.823	0.00320846	
-3.6701	0.00353419	
-3.5172	0.00377582	
-3.3642	0.00396134	
-3.2113	0.00411149	
-3.0584	0.00423167	
-2.9055	0.00432289	
-2.7526	0.00438659	
